time,s3,s4
9.657,20,0
9.878,17,0
10.102,14,1
10.328,15,1
10.549,16,1
10.77,19,0
10.991,19,0
11.216,20,0
11.438,22,0
11.659,20,0
11.88,19,0
12.101,21,0
12.326,17,0
12.548,18,0
12.769,16,0
12.99,20,0
13.211,17,0
13.436,17,0
13.658,17,0
13.879,18,0
14.1,16,0
14.321,17,0
14.545,21,0
14.767,25,1
14.988,25,3
15.209,2,6
15.43,2,5
15.654,1,0
15.876,2,0
16.097,2,0
16.321,8,0
16.541,6,4
