time(ms), room temp(Celcius), accX(G), accY(G), accZ(G), angleX(Deg), angleY(Deg), angleZ(Deg), Front Left (1), Back Left (2), Front Right (3), Back Right (4)
96366,23.09,-0.2,0.49,1.31,-13.39,7.99,-564.43,0,10,2,13
96591,23.05,-0.04,0.02,0.73,-19.89,-12.49,-565.36,6,63,5,66
96814,23.05,-0.21,-0.14,0.82,-13.51,5.13,-567.14,10,60,18,58
97038,23.05,-0.2,-0.19,0.88,-13.27,8.14,-568.24,23,9,48,0
97260,23.14,0.21,-1.26,1.73,-25.17,10.97,-578.55,1,1,4,0
97485,23.19,0.54,-0.17,1.47,10.23,22.28,-594.29,1,1,2,0
97707,23,0.1,-0.48,0.59,13.2,10.12,-592.86,1,1,2,0
97928,23.09,0.3,-0.28,2,-16.38,15.36,-604.75,1,58,2,69
98150,23.09,-0.57,-0.16,1.12,-22.24,10.42,-610.08,9,60,6,53
98373,23.09,-0.23,-0.22,0.89,-14.89,9.59,-609.87,8,35,25,11
98596,23.14,-0.16,-0.23,0.88,-13.67,8.7,-610.77,31,1,58,0
98819,23,-0.03,-0.76,2,-25.51,9.8,-623.89,0,2,3,0
99040,23.09,0.15,-0.5,0.99,0.77,23.28,-628.18,1,2,3,0
99264,22.91,-0.06,-0.2,0.77,-5.75,10.42,-612.85,1,1,2,0
99489,23.05,-0.24,-0.06,0.71,-6.26,12.02,-610.08,1,1,2,0
99715,23,0,-0.26,0.88,-8.02,5.72,-613.56,0,18,2,8
99937,23.09,-0.26,-0.24,0.95,-11.08,8.91,-615.91,9,42,11,30
100160,23.05,-0.23,-0.19,0.9,-10.17,10.52,-615.72,4,42,27,26
100387,23.05,-0.22,-0.19,0.88,-9.73,11.07,-615.79,12,42,27,17
100612,23.09,-0.22,-0.19,0.87,-9.52,11.01,-616.06,2,37,31,8
100834,23.09,-0.09,-0.55,1.4,-14.46,10.35,-621.04,1,1,6,0
101056,23.05,-0.11,-0.3,0.57,-20.24,2.94,-638.16,0,2,2,0
101281,23.09,-0.14,-0.31,0.72,-12.62,6.2,-628.54,1,2,3,0
101507,23.09,-0.55,-0.26,0.29,-8.28,11.04,-604.36,1,1,2,0
101732,23.14,0.29,-0.28,0.23,-36.87,-2.36,-574.24,3,0,7,4
101954,23,-0.24,-0.09,0.82,-16.15,12.5,-577.18,5,35,16,50
102181,23,-0.22,-0.14,0.85,-11.31,12.41,-577.17,7,48,20,60
102405,23,-0.26,-0.17,0.89,-9.72,12.76,-577.08,4,46,22,50
102629,23.09,-0.24,-0.17,0.86,-8.81,12.78,-576.98,3,48,21,60
102852,23.05,-0.24,-0.18,0.89,-8.82,12.63,-577,4,44,23,55
103076,23,-0.23,-0.18,0.88,-8.89,12.64,-577,5,37,26,46
103300,23,-0.25,-0.18,0.89,-8.92,12.69,-576.94,5,39,31,48
103523,23.14,-0.23,-0.18,0.86,-8.79,12.71,-576.81,4,40,31,53
103747,23,-0.25,-0.18,0.87,-8.74,12.87,-576.71,3,44,23,55
103970,23.09,-0.24,-0.18,0.88,-8.76,12.82,-576.67,3,40,27,58
104194,23.09,-0.24,-0.18,0.87,-8.77,12.86,-576.64,4,44,28,50
104418,23.05,-0.24,-0.17,0.87,-8.8,12.81,-576.62,4,42,30,50
104641,23.05,-0.24,-0.18,0.88,-8.94,12.69,-576.6,4,40,31,53
104868,23,-0.25,-0.18,0.88,-8.85,12.82,-576.48,4,42,31,60
105092,23,-0.24,-0.18,0.87,-8.78,12.86,-576.36,3,44,34,69
105315,23.14,-0.24,-0.16,0.86,-8.65,12.91,-576.25,3,46,25,55
